iter	RMSE
0	8.81628821
1	8.657622724
2	8.507521801
3	8.344616047
4	8.179765944
5	8.03448154
6	7.880121163
7	7.736727722
8	7.616356741
9	7.474658417
10	7.351524116
11	7.229471601
12	7.138806553
13	6.992824231
14	6.891005926
15	6.779043522
16	6.673004836
17	6.57156487
18	6.475055111
19	6.364171626
20	6.272625189
21	6.157498625
22	6.089895709
23	6.008010996
24	5.908130754
25	5.807472122
26	5.730789712
27	5.652319413
28	5.579718347
29	5.485440979
30	5.410975798
31	5.346116443
32	5.291815405
33	5.223279878
34	5.151620603
35	5.084928153
36	5.013343665
37	4.965017437
38	4.90339355
39	4.849269111
40	4.797188081
41	4.74554551
42	4.685095248
43	4.625173784
44	4.569578812
45	4.516708879
46	4.468722192
47	4.412216515
48	4.362092485
49	4.306601252
50	4.25991406
51	4.214150905
52	4.169564793
53	4.12608136
54	4.086157004
55	4.051263677
56	3.996132034
57	3.956556708
58	3.918583382
59	3.878144646
60	3.831016488
61	3.801246601
62	3.764754869
63	3.736461925
64	3.700971445
65	3.668420045
66	3.632881162
67	3.606408046
68	3.577924136
69	3.547051363
70	3.519799402
71	3.491364051
72	3.47420918
73	3.447104397
74	3.426454985
75	3.401501349
76	3.383897843
77	3.360597881
78	3.34329639
79	3.309068182
80	3.283081282
81	3.260340734
82	3.238900589
83	3.218827357
84	3.203385789
85	3.181546222
86	3.164646172
87	3.141016472
88	3.127464142
89	3.113646294
90	3.095752133
91	3.084836344
92	3.067735525
93	3.052767355
94	3.034708441
95	3.018659013
96	3.002874675
97	2.986189948
98	2.96951423
99	2.946737918
100	2.929594095
101	2.917051205
102	2.893140439
103	2.878114504
104	2.863956816
105	2.851291549
106	2.836943441
107	2.818847189
108	2.804694096
109	2.790729161
110	2.778339557
111	2.768196227
112	2.75716619
113	2.743322295
114	2.732200148
115	2.722733892
116	2.706216212
117	2.692862694
118	2.685827607
119	2.674820739
120	2.659729394
121	2.647976829
122	2.632029095
123	2.620860875
124	2.613070257
125	2.602325343
126	2.587195369
127	2.578478719
128	2.569440432
129	2.560205111
130	2.551940707
131	2.542422612
132	2.532559614
133	2.520365278
134	2.508464909
135	2.495757974
136	2.487783773
137	2.480482417
138	2.469821215
139	2.461372088
140	2.455475166
141	2.446345545
142	2.434640103
143	2.426539936
144	2.418486733
145	2.408777478
146	2.401460686
147	2.392901703
148	2.38475334
149	2.37606679
150	2.36908627
151	2.360636457
152	2.353718862
153	2.346628305
154	2.337871286
155	2.329618132
156	2.323145362
157	2.317090075
158	2.309539886
159	2.299767095
160	2.291449537
161	2.285193505
162	2.276307653
163	2.272528487
164	2.264341931
165	2.258481411
166	2.251840172
167	2.245728073
168	2.236737999
169	2.231339573
170	2.225711817
171	2.218444082
172	2.212176983
173	2.205652693
174	2.198533104
175	2.191951774
176	2.18405181
177	2.178680375
178	2.172658855
179	2.164372306
180	2.157772083
181	2.151402545
182	2.146292129
183	2.138483262
184	2.13477824
185	2.127557253
186	2.120056413
187	2.110567853
188	2.104183612
189	2.098958014
190	2.094232024
191	2.088183396
192	2.081236922
193	2.075578238
194	2.070247557
195	2.066202096
196	2.063354094
197	2.055839354
198	2.048510701
199	2.041927853
200	2.03548459
201	2.032128676
202	2.026213365
203	2.018942172
204	2.012845504
205	2.008828783
206	2.002688371
207	1.995564073
208	1.990030122
209	1.985166994
210	1.979484835
211	1.971306564
212	1.965104252
213	1.959512753
214	1.955977216
215	1.951447051
216	1.947476443
217	1.9430295
218	1.93680357
219	1.933911882
220	1.930053141
221	1.923297543
222	1.915941907
223	1.911814352
224	1.908920374
225	1.905657709
226	1.900056233
227	1.893674674
228	1.888834888
229	1.882419417
230	1.877351101
231	1.871660254
232	1.868355098
233	1.859195354
234	1.854950941
235	1.851430243
236	1.848929836
237	1.843409791
238	1.839163856
239	1.833769199
240	1.828866263
241	1.825150115
242	1.818432749
243	1.81377685
244	1.807177551
245	1.800683035
246	1.794954654
247	1.792731017
248	1.789967524
249	1.781505489
250	1.779779487
251	1.773812378
252	1.767602296
253	1.762912956
254	1.759282749
255	1.754803182
256	1.751020002
257	1.746404802
258	1.743332657
259	1.739526083
260	1.734661292
261	1.732387977
262	1.726480982
263	1.722682893
264	1.721080672
265	1.717469794
266	1.714559071
267	1.711581346
268	1.70559718
269	1.702387089
270	1.694300402
271	1.689335156
272	1.684927548
273	1.679345441
274	1.673618435
275	1.67173534
276	1.666341204
277	1.663164542
278	1.658448127
279	1.652936343
280	1.648717233
281	1.640798705
282	1.638739819
283	1.633366138
284	1.629111002
285	1.623496368
286	1.620264154
287	1.615653543
288	1.612457765
289	1.609682175
290	1.606959779
291	1.604479507
292	1.600306858
293	1.596893987
294	1.593386114
295	1.590603302
296	1.586191823
297	1.582784933
298	1.579997365
299	1.574334274
300	1.571179915
301	1.567397082
302	1.563693704
303	1.559619865
304	1.556928905
305	1.552337039
306	1.549448218
307	1.543527315
308	1.539591207
309	1.53265357
310	1.529899613
311	1.527481507
312	1.523978195
313	1.521976041
314	1.520064566
315	1.515852856
316	1.511487922
317	1.510490324
318	1.506662581
319	1.504777182
320	1.502036432
321	1.498927796
322	1.496088833
323	1.49222562
324	1.486182439
325	1.483442389
326	1.48248698
327	1.480951915
328	1.47591565
329	1.47419454
330	1.469858067
331	1.468215814
332	1.465970374
333	1.462882326
334	1.461181875
335	1.460145506
336	1.455855143
337	1.454162245
338	1.448507996
339	1.446236596
340	1.442154043
341	1.440178069
342	1.435432013
343	1.431971746
344	1.428962441
345	1.424725305
346	1.423329441
347	1.420239706
348	1.415171477
349	1.414330982
350	1.411066358
351	1.406245962
352	1.401814016
353	1.398171026
354	1.39537043
355	1.391300305
356	1.389178984
357	1.386294831
358	1.383303285
359	1.381549534
360	1.380629141
361	1.379861691
362	1.378553556
363	1.372932871
364	1.370373424
365	1.365642373
366	1.362422557
367	1.357223494
368	1.353625397
369	1.348656355
370	1.345014816
371	1.341985142
372	1.337897613
373	1.334503527
374	1.332406724
375	1.329910585
376	1.327555605
377	1.324536405
378	1.322904475
379	1.32142546
380	1.319044426
381	1.316355356
382	1.312554411
383	1.311268
384	1.30704779
385	1.302985583
386	1.299672739
387	1.298171465
388	1.295607135
389	1.290821751
390	1.286991618
391	1.281978277
392	1.277862378
393	1.274383104
394	1.272139413
395	1.270905914
396	1.268988544
397	1.26500738
398	1.263173024
399	1.259045216
400	1.255864081
401	1.253330272
402	1.252596214
403	1.24921167
404	1.247384884
405	1.245492342
406	1.243211899
407	1.240582225
408	1.239469951
409	1.237736738
410	1.236750715
411	1.234208416
412	1.231834137
413	1.229137677
414	1.226884542
415	1.223596708
416	1.221532413
417	1.218900188
418	1.21507259
419	1.21193855
420	1.209457096
421	1.207670417
422	1.204656719
423	1.202643852
424	1.200236551
425	1.198745095
426	1.195915745
427	1.194444417
428	1.191785245
429	1.189336476
430	1.185479493
431	1.182683915
432	1.180022639
433	1.176573551
434	1.175841978
435	1.17417193
436	1.171517612
437	1.16819673
438	1.165246044
439	1.162155929
440	1.158291381
441	1.156713017
442	1.155317562
443	1.152741185
444	1.150626598
445	1.148879541
446	1.148485419
447	1.14611618
448	1.145159827
449	1.143415399
450	1.141161685
451	1.137829024
452	1.136234293
453	1.132815736
454	1.13199206
455	1.128720208
456	1.126624805
457	1.124279735
458	1.123820275
459	1.120696272
460	1.118252924
461	1.11654401
462	1.11330017
463	1.110323221
464	1.108391703
465	1.107226164
466	1.106370589
467	1.103893348
468	1.100276153
469	1.096398706
470	1.094383381
471	1.091149556
472	1.0891886
473	1.086822595
474	1.084050668
475	1.081908426
476	1.079678886
477	1.0766633
478	1.0747395
479	1.07339206
480	1.072241888
481	1.070267502
482	1.067698336
483	1.065733696
484	1.064104645
485	1.062866401
486	1.059372632
487	1.055916158
488	1.053485679
489	1.051928229
490	1.051269089
491	1.048434035
492	1.045509688
493	1.043192536
494	1.040644844
495	1.038338573
496	1.037157533
497	1.034509803
498	1.032687225
499	1.030724443
500	1.028401091
501	1.02739459
502	1.025905688
503	1.023691245
504	1.021474153
505	1.02057625
506	1.018446622
507	1.01666821
508	1.014281386
509	1.011255766
510	1.010119706
511	1.007459696
512	1.005014389
513	1.002097716
514	0.9995219381
515	0.9979231389
516	0.9945288157
517	0.9916994153
518	0.9882728235
519	0.9861727981
520	0.9834752014
521	0.9830787612
522	0.9809916455
523	0.9796336304
524	0.977847252
525	0.9749829401
